gvkey,ticker
004503,XOM
005047,GE
003243,C
007647,BAC
012141,MSFT
009899,T
011259,WMT
006266,JNJ
001487,AIG
008530,PFE
008543,MO
008762,PG
002968,JPM
002991,CVX
006066,IBM
160329,GOOG
008007,WFC
008549,COP
006008,INTC
003144,KO
004739,WB
002136,VZ
020779,CSCO
005606,HPQ
008479,PEP
012142,ORCL
007257,MRK
003226,CMCSA
025056,TWX
007267,MER
114628,GS
005680,HD
010920,UPS
012124,MS
001602,AMGN
001078,ABT
009465,SLB
001447,AXP
010903,UNH
001478,WYE
002285,BA
001690,AAPL
004723,USB
003980,DIS
010983,UTX
012886,NWS
007228,MDT
024800,QCOM
004601,FNM
007435,MMM
006730,LLY
010787,TYC
010984,S
014489,DELL
007154,MCD
003813,TGT
002403,BMY
006829,LOW
011264,WAG
007585,MOT
145046,WLP
004087,DD
015208,FRE
133768,MET
016243,WAMU
010499,TXN
004093,DUK
008539,EXC
114524,EBAY
008068,OXY
028349,ALL
157858,FSL
143356,PRU
002817,CAT
030128,LEH
013498,CCL
006774,LMT
004060,DOW
001663,BUD
062689,TRV
001300,HON
009459,SGP
062634,YHOO
004598,FDX
004321,EMR
003170,CL
007017,MRO
030990,COF
005439,HAL
006435,KMB
015247,VLO
012206,DTV
002086,BAX
005046,GD
061739,HIG
010187,STI
024856,GILD
014934,DVN
002019,BK
003532,GLW
